"name";"DensPop2"
"Algeria";"Très faible densité"
"Angola";"Très faible densité"
"Benin";"Forte densité"
"Botswana";"Très faible densité"
"British Indian Ocean Territory";"Faible densité"
"Burkina Faso";"Faible densité"
"Burundi";"Forte densité"
"Cameroon";"Faible densité"
"Cabo Verde";"Forte densité"
"Central African Republic";"Très faible densité"
"Chad";"Très faible densité"
"Comoros";"Très forte densité"
"Congo";"Très faible densité"
"Congo (Democratic Republic of the)";"Faible densité"
"Djibouti";"Faible densité"
"Egypt";"Forte densité"
"Equatorial Guinea";"Faible densité"
"Eritrea";"Faible densité"
"Ethiopia";"Forte densité"
"French Southern Territories";"Très faible densité"
"Gabon";"Très faible densité"
"Gambia";"Forte densité"
"Ghana";"Forte densité"
"Guinea";"Faible densité"
"Guinea-Bissau";"Faible densité"
"Côte d'Ivoire";"Faible densité"
"Kenya";"Faible densité"
"Lesotho";"Faible densité"
"Liberia";"Faible densité"
"Libya";"Très faible densité"
"Madagascar";"Faible densité"
"Malawi";"Forte densité"
"Mali";"Très faible densité"
"Mauritania";"Très faible densité"
"Mauritius";"Très forte densité"
"Mayotte";NA
"Morocco";"Faible densité"
"Mozambique";"Faible densité"
"Namibia";"Très faible densité"
"Niger";"Très faible densité"
"Nigeria";"Forte densité"
"Réunion";NA
"Rwanda";"Très forte densité"
"Saint Helena, Ascension and Tristan da Cunha";NA
"Sao Tome and Principe";"Forte densité"
"Senegal";"Faible densité"
"Seychelles";"Forte densité"
"Sierra Leone";"Forte densité"
"Somalia";"Très faible densité"
"South Africa";"Faible densité"
"South Sudan";"Très faible densité"
"Sudan";"Très faible densité"
"Swaziland";"Faible densité"
"Tanzania, United Republic of";"Faible densité"
"Togo";"Forte densité"
"Tunisia";"Faible densité"
"Uganda";"Forte densité"
"Western Sahara";"Très faible densité"
"Zambia";"Très faible densité"
"Zimbabwe";"Faible densité"
