"ANNEE";"Variation"
1983-10-01;7.8
1984-01-01;7.4
1984-04-01;6.9
1984-07-01;7.3
1984-10-01;6.9
1985-01-01;6.5
1985-04-01;6.5
1985-07-01;6
1985-10-01;6.2
1986-01-01;5.9
1986-04-01;5.2
1986-07-01;5.4
1986-10-01;4.7
1987-01-01;5.3
1987-04-01;5.9
1987-07-01;6.2
1987-10-01;6.6
1988-01-01;6.6
1988-04-01;6.2
1988-07-01;6
1988-10-01;6.6
1989-01-01;6.2
1989-04-01;6.3
1989-07-01;6
1989-10-01;5.1
1990-01-01;4.7
1990-04-01;4
1990-07-01;3.9
1990-10-01;4.3
1991-01-01;4.5
1991-04-01;5
1991-07-01;5.1
1991-10-01;4.6
1992-01-01;4.9
1992-04-01;5.3
1992-07-01;5.2
1992-10-01;5.2
1993-01-01;4.6
1993-04-01;3.6
1993-07-01;3.1
1993-10-01;2.6
1994-01-01;2.2
1994-04-01;2.4
1994-07-01;2.1
1994-10-01;2
1995-01-01;1.9
1995-04-01;1.9
1995-07-01;2
1995-10-01;2.1
1996-01-01;1.9
1996-04-01;1.6
1996-07-01;1.2
1996-10-01;1.1
1997-01-01;0.9
1997-04-01;1
1997-07-01;1.3
1997-10-01;1.3
1998-01-01;1.6
1998-04-01;1.9
1998-07-01;2.1
1998-10-01;2.1
1999-01-01;2.1
1999-04-01;1.6
1999-07-01;1.2
1999-10-01;1.2
2000-01-01;1.1
2000-04-01;1.4
2000-07-01;1.4
2000-10-01;1.4
2001-01-01;1.4
2001-04-01;1.6
2001-07-01;1.9
2001-10-01;2.3
2002-01-01;2.7
2002-04-01;2.8
2002-07-01;3
2002-10-01;3
2003-01-01;2.7
2003-04-01;2.5
2003-07-01;2.4
2003-10-01;2.4
2004-01-01;2.5
2004-04-01;2.8
2004-07-01;3.2
2004-10-01;3.8
2005-01-01;3.9
2005-04-01;4
2005-07-01;3.9
2005-10-01;3.8
2006-01-01;3.8
2006-04-01;3.6
2006-07-01;3.2
2006-10-01;3.1
2007-01-01;3.4
2007-04-01;3.4
2007-07-01;3.5
2007-10-01;3
2008-01-01;2.3
2008-04-01;2
2008-07-01;1.8
2008-10-01;1.6
2009-01-01;1.7
2009-04-01;1.8
2009-07-01;1.6
2009-10-01;1.6
2010-01-01;1.5
2010-04-01;1.3
2010-07-01;1.2
2010-10-01;1
2011-01-01;0.8
2011-04-01;0.7
2011-07-01;0.8
2011-10-01;1.1
2012-01-01;1.4
2012-04-01;1.7
2012-07-01;1.8
